Location,Name,Frequency,Duplex,Offset,Tone,rToneFreq,cToneFreq,DtcsCode,DtcsPolarity,Mode,TStep,Skip,Comment,URCALL,RPT1CALL,RPT2CALL,DVCODE
69,MC 7,147.56,,0.6,,88.5,88.5,23,NN,FM,5,S,,,,,
70,MC 8,147.58,,0.6,,88.5,88.5,23,NN,FM,5,S,,,,,
71,MC 9,146.46,,0.6,,88.5,88.5,23,NN,FM,5,S,,,,,
72,MC 10,145.07,,0.6,,88.5,88.5,23,NN,FM,5,S,,,,,
73,MC 11,432.15,,5,,88.5,88.5,23,NN,FM,25,S,,,,,
74,MC 12,147.28,,0.6,,88.5,88.5,23,NN,FM,5,S,,,,,
75,MC 13,440.275,+,5,TSQL,151.4,151.4,23,NN,FM,25,S,,,,,
76,MC 14,446.15,,5,Tone,151.4,88.5,23,NN,FM,25,S,,,,,
77,WC 1,147.36,+,0.6,Tone,107.2,88.5,23,NN,FM,5,,,,,,
78,WC 2,146.9,-,0.6,Tone,127.3,88.5,23,NN,FM,5,S,,,,,
79,WC 3,440.35,+,5,Tone,127.3,88.5,23,NN,FM,25,S,,,,,
80,WC 4,444.975,+,5,Tone,107.2,88.5,23,NN,FM,25,S,,,,,
81,WC 5,147.4,,0.6,,88.5,88.5,23,NN,FM,5,S,,,,,
82,WC 6,146.44,,0.6,,88.5,88.5,23,NN,FM,5,S,,,,,
83,WC 7,147.44,,0.6,,88.5,88.5,23,NN,FM,5,S,,,,,
84,WC 8,147.5,,0.6,,88.5,88.5,23,NN,FM,5,S,,,,,
85,WC 9,147.54,,0.6,,88.5,88.5,23,NN,FM,5,S,,,,,
86,WC 10,446.025,,5,,88.5,88.5,23,NN,FM,25,S,,,,,
87,WC 11,432.2,,5,,88.5,88.5,23,NN,FM,25,S,,,,,
88,WC 12,144.91,,0.6,,88.5,88.5,23,NN,FM,5,S,,,,,
89,WC 13,144.98,,0.6,,88.5,88.5,23,NN,FM,5,S,,,,,
90,WC 14,145.04,,0.6,,88.5,88.5,23,NN,FM,5,S,,,,,
91,WC 15,145.05,,0.6,,88.5,88.5,23,NN,FM,5,S,,,,,
92,WC 16,145.55,,0.6,,88.5,88.5,23,NN,FM,5,S,,,,,
93,WC 17,441.075,,5,,88.5,88.5,23,NN,FM,25,S,,,,,
94,WC 18,440.55,+,5,,88.5,88.5,23,NN,FM,25,S,,,,,
95,WC 19,444.75,+,5,Tone,123,88.5,23,NN,FM,25,S,,,,,
96,WC 20,440.175,+,5,Tone,110.9,88.5,23,NN,FM,25,S,,,,,
97,D1-1,147.32,+,0.6,Tone,100,88.5,23,NN,FM,5,,,,,,
98,D1-2,146.84,-,0.6,,88.5,88.5,23,NN,FM,5,S,,,,,
99,OEM 1,145.33,-,0.6,Tone,186.2,88.5,23,NN,FM,5,S,,,,,
100,RED C1,146.98,-,0.6,DTCS,88.5,88.5,23,NN,FM,5,S,,,,,
101,RED CR,147.42,,0.6,,88.5,88.5,23,NN,FM,5,S,,,,,
102,HRT 1,145.23,-,0.6,,88.5,88.5,23,NN,FM,5,S,,,,,
103,HRT 2,442.7,+,5,Tone,100,88.5,23,NN,FM,25,S,,,,,
104,HRTSIM,146.6,,0.6,,88.5,88.5,23,NN,FM,5,S,,,,,
105,OEM 2,147.02,+,0.6,Tone,186.2,88.5,23,NN,FM,5,S,,,,,
106,OEM 3,144.99,,0.6,,88.5,88.5,23,NN,FM,5,S,,,,,
107,INTEL1,145.52,,0.6,,88.5,88.5,23,NN,FM,5,S,,,,,
109,TLMK 1,147.22,+,0.6,Tone,100,88.5,23,NN,FM,5,S,,,,,
